id,name,company,created_at,last_seen,total_plays,best_score,best_time
1,Syed,Rapyder,2026-09-11 13:01:08.821702,2026-09-11 13:01:25.248520,1,3,16.0
2,Cloud Trainee,qwrewqewq,2026-09-11 13:07:39.664721,2026-09-11 13:08:40.875921,1,3,60.0
3,Syed,123,2026-09-11 14:00:20.694807,2026-09-11 14:00:42.311774,1,2,21.0
4,Cloud Trainee,ceva,2026-09-11 14:05:30.578328,2026-09-11 14:05:50.203681,1,3,19.0
5,Browser QA,Local Test,2026-09-12 07:49:35.661487,2026-09-12 07:50:23.110819,1,4,47.0
6,Browser QA 2,Local Test,2026-09-12 07:50:39.620796,2026-09-12 07:51:13.052184,1,4,33.0
7,ASCII Browser QA,Local Test,2026-09-12 07:51:58.419146,2026-09-12 07:52:15.978183,1,4,17.0
8,Perfect Browser QA,Local Test,2026-09-12 07:53:06.096389,2026-09-12 08:00:35.979844,1,0,90.0
9,Linear Flow QA,Local Test,2026-09-12 08:03:33.813376,2026-09-12 08:03:33.813376,0,0,
10,Header QA,Local Test,2026-09-12 08:05:25.095662,2026-09-12 08:05:25.095662,0,0,
11,Mobile Header QA,Local Test,2026-09-12 08:05:36.790869,2026-09-12 08:05:36.790869,0,0,
12,Timeout Browser QA,Local Test,2026-09-12 08:07:08.187377,2026-09-12 08:07:11.496670,1,0,3.0
13,Results Layout QA,Local Test,2026-09-12 08:08:23.947050,2026-09-12 08:08:27.290436,1,0,3.0
14,Mobile Results QA,Local Test,2026-09-12 08:08:33.820522,2026-09-12 08:08:37.085910,1,0,3.0
15,arya test 1,test 1,2026-09-12 08:10:09.745317,2026-09-12 08:10:36.056032,1,4,26.0
16,Clip QA,Local Test,2026-09-12 08:10:38.749778,2026-09-12 08:11:53.880725,1,6,74.0
17,Validation User,Validation Company,2026-09-12 08:38:49.032607,2026-09-12 08:38:49.032607,0,0,
18,Index User,Validation Company,2026-09-12 08:38:49.139170,2026-09-12 08:38:49.139170,0,0,
19,Flags User,Validation Company,2026-09-12 08:38:49.232108,2026-09-12 08:38:49.232108,0,0,
